,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,last_name,first_name,player_id_x,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,player_id_y,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff,pitcher_x,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,pitcher_y,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,Name
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Greinke, Zack,425844,196,11.7,34.7,115.9,86.8,91.9,82.9,413,166,391.0,69,35.2,16,8.2,5.9,425844,2020,273,196,0.256,0.249,0.007,0.405,0.421,-0.0159999999999999,0.293,0.299,-0.006,4.03,3.76,0.27,425844.0,2327.0,2259.0,,2422.0,1668.0,2428.0,,,425844.0,88.1,89.7,,84.5,86.2,70.6,,,Zack Greinke
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,Davies, Zach,605200,194,14.6,35.6,111.3,87.5,91.8,84.9,468,165,418.0,71,36.6,20,10.3,7.2,605200,2020,276,194,0.216,0.269,-0.053,0.361,0.476,-0.1149999999999999,0.273,0.344,-0.0709999999999999,2.73,5.13,-2.404,605200.0,,2051.0,2184.0,,1728.0,2509.0,,,605200.0,,88.5,86.9,,79.4,74.5,,,Zach Davies
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Cueto, Johnny,456501,192,13.0,34.4,113.1,87.9,91.5,84.3,447,172,417.0,65,33.9,11,5.7,4.0,456501,2020,277,192,0.248,0.261,-0.013,0.423,0.417,0.006,0.324,0.336,-0.012,5.4,4.86,0.54,456501.0,2222.0,2123.0,,2231.0,1333.0,2337.0,,,456501.0,91.4,90.9,,84.8,82.5,80.7,,,Johnny Cueto
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Wainwright, Adam,425794,191,12.0,33.0,113.2,87.3,93.1,82.9,442,158,402.0,70,36.6,12,6.3,4.6,425794,2020,262,191,0.221,0.265,-0.044,0.369,0.436,-0.067,0.277,0.324,-0.0469999999999999,3.15,4.48,-1.328,425794.0,2218.0,2188.0,2343.0,,1683.0,2791.0,,,425794.0,89.2,89.3,85.0,,81.8,73.5,,,Adam Wainwright
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Valdez, Framber,664285,191,-0.8,33.5,114.6,91.4,95.7,88.5,418,133,384.0,93,48.7,15,7.9,5.2,664285,2020,288,191,0.24,0.239,0.001,0.342,0.379,-0.0369999999999999,0.279,0.302,-0.0229999999999999,3.57,3.84,-0.274,664285.0,2306.0,2252.0,,,1720.0,2982.0,,,664285.0,93.2,93.1,,,88.8,80.5,,,Framber Valdez
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,Porcello, Rick,519144,190,16.4,35.3,109.8,87.2,91.9,83.5,408,162,378.0,70,36.8,16,8.4,6.1,519144,2020,261,190,0.303,0.293,0.01,0.434,0.467,-0.033,0.34,0.348,-0.0079999999999999,5.64,5.27,0.374,519144.0,2299.0,2146.0,,2359.0,1682.0,2588.0,,,519144.0,91.6,90.1,,86.2,81.8,74.9,,,Rick Porcello
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Anderson, Tyler,542881,190,21.6,38.4,109.4,86.8,90.3,84.2,422,188,391.0,59,31.1,11,5.8,4.2,542881,2020,260,190,0.256,0.263,-0.007,0.41,0.418,-0.008,0.325,0.334,-0.009,4.37,4.8,-0.426,542881.0,2295.0,2327.0,2415.0,,1988.0,2334.0,,,542881.0,90.3,89.5,85.0,,80.9,71.9,,,Tyler Anderson
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,Heaney, Andrew,571760,188,16.3,35.6,110.6,88.6,94.2,83.3,441,181,416.0,74,39.4,14,7.4,5.0,571760,2020,279,188,0.246,0.25,-0.004,0.414,0.445,-0.031,0.306,0.322,-0.016,4.46,4.42,0.035,571760.0,2435.0,,,,2005.0,2550.0,,,571760.0,91.5,,,,83.0,79.2,,,Andrew Heaney
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,Darvish, Yu,506433,187,11.9,36.4,110.9,88.7,93.0,85.4,449,162,405.0,64,34.2,12,6.4,4.0,506433,2020,297,187,0.211,0.228,-0.017,0.321,0.346,-0.0249999999999999,0.25,0.269,-0.019,2.01,3.02,-1.007,506433.0,2595.0,2492.0,2779.0,2797.0,,2730.0,1645.0,,506433.0,95.9,95.3,86.9,82.0,,77.7,90.2,,Yu Darvish
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,Bassitt, Chris,605135,187,12.5,28.9,111.4,88.2,92.7,86.3,418,166,398.0,70,37.4,11,5.9,4.2,605135,2020,261,187,0.233,0.242,-0.0089999999999999,0.371,0.39,-0.019,0.287,0.301,-0.014,2.29,3.82,-1.534,605135.0,2160.0,2112.0,2184.0,2238.0,1950.0,2185.0,,,605135.0,93.3,92.6,87.9,75.1,83.6,70.0,,,Chris Bassitt
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,Mills, Alec,621219,185,10.1,30.8,114.5,86.9,93.0,83.6,453,154,401.0,73,39.5,17,9.2,6.7,621219,2020,252,185,0.23,0.264,-0.034,0.448,0.462,-0.014,0.316,0.342,-0.026,4.48,5.06,-0.584,621219.0,2181.0,2185.0,,2584.0,1709.0,2378.0,,,621219.0,89.8,89.9,,77.5,80.7,66.6,,,Alec Mills
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Ryu, Hyun Jin,547943,185,9.6,32.4,109.6,87.0,91.4,84.9,427,140,401.0,54,29.2,6,3.2,2.2,547943,2020,275,185,0.234,0.233,0.001,0.352,0.334,0.0179999999999999,0.279,0.274,0.005,2.69,3.13,-0.443,547943.0,1995.0,1953.0,2026.0,,1478.0,2542.0,,,547943.0,89.8,89.1,85.5,,79.6,72.3,,,Hyun Jin Ryu
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,Pérez, Martín,527048,185,14.3,34.6,111.2,86.3,91.1,81.3,428,172,400.0,54,29.2,14,7.6,5.3,527048,2020,262,185,0.24,0.25,-0.01,0.415,0.422,-0.007,0.325,0.334,-0.009,4.5,4.8,-0.3,527048.0,2049.0,1951.0,2180.0,,1704.0,2521.0,,,527048.0,92.2,91.9,88.8,,83.7,77.7,,,Martin Perez
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,Boyd, Matthew,571510,184,15.4,37.0,110.8,87.4,93.0,82.4,443,179,400.0,68,37.0,20,10.9,7.4,571510,2020,271,184,0.278,0.258,0.02,0.552,0.479,0.073,0.378,0.349,0.029,6.71,5.3,1.413,571510.0,2304.0,2255.0,,2324.0,1882.0,2506.0,,,571510.0,91.7,90.5,,79.3,79.1,74.1,,,Matthew Boyd
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,Sánchez, Aníbal,434671,181,13.5,37.0,114.2,88.9,92.4,85.8,440,178,408.0,68,37.6,17,9.4,6.9,434671,2020,245,181,0.313,0.284,0.029,0.536,0.482,0.054,0.383,0.355,0.028,6.62,5.52,1.103,434671.0,2147.0,2078.0,2184.0,2297.0,1261.0,2027.0,1544.0,,434671.0,89.3,89.6,87.5,83.5,69.6,76.3,81.8,,Anibal Sanchez
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,Gallen, Zac,668678,181,12.4,33.7,109.5,87.0,92.9,83.4,432,159,412.0,59,32.6,13,7.2,4.5,668678,2020,291,181,0.21,0.226,-0.016,0.336,0.369,-0.0329999999999999,0.275,0.296,-0.0209999999999999,2.75,3.68,-0.93,668678.0,2378.0,2192.0,2346.0,2421.0,1530.0,2432.0,,,668678.0,93.2,92.9,87.0,87.1,84.9,81.2,,,Zac Gallen
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,Woodruff, Brandon,605540,180,13.3,26.1,115.3,86.7,93.2,84.4,431,145,413.0,61,33.9,13,7.2,4.4,605540,2020,293,180,0.204,0.199,0.0049999999999999,0.341,0.34,0.001,0.264,0.264,0.0,3.05,2.9,0.154,605540.0,2457.0,2364.0,,2525.0,1817.0,2606.0,,,605540.0,96.6,96.3,,88.2,86.7,83.5,,,Brandon Woodruff
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,Scherzer, Max,453286,179,18.7,41.9,112.2,88.5,91.6,85.2,459,185,414.0,65,36.3,15,8.4,5.1,453286,2020,295,179,0.26,0.252,0.008,0.424,0.432,-0.008,0.319,0.321,-0.002,3.74,4.39,-0.647,453286.0,2472.0,,2574.0,2384.0,1440.0,2782.0,,,453286.0,94.7,,91.1,85.5,84.9,77.1,,,Max Scherzer
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,Castillo, Luis,622491,178,2.2,28.7,114.4,86.0,92.7,82.1,428,128,409.0,66,37.1,8,4.5,2.7,622491,2020,292,178,0.233,0.21,0.023,0.365,0.314,0.0509999999999999,0.29,0.266,0.0239999999999999,3.21,2.95,0.264,622491.0,2181.0,2100.0,,2484.0,1942.0,,,,622491.0,97.4,97.5,,86.8,88.2,,,,Luis Castillo
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,Williams, Trevor,592866,178,12.3,33.7,114.5,87.2,92.3,83.1,435,170,391.0,64,36.0,12,6.7,4.8,592866,2020,252,178,0.296,0.263,0.0329999999999999,0.543,0.446,0.097,0.382,0.343,0.0389999999999999,6.18,5.1,1.081,592866.0,2277.0,1959.0,,2276.0,1851.0,2284.0,,,592866.0,91.5,89.7,,82.7,85.1,77.8,,,Trevor Williams
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Houser, Adrian,605288,177,1.4,29.4,109.9,86.3,92.0,83.6,433,121,392.0,58,32.8,10,5.6,4.1,605288,2020,246,177,0.285,0.268,0.0169999999999999,0.457,0.408,0.049,0.353,0.333,0.0199999999999999,5.3,4.77,0.534,605288.0,2166.0,2076.0,,2250.0,1526.0,2019.0,,,605288.0,93.8,93.2,,85.6,84.9,80.5,,,Adrian Houser
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,Singer, Brady,663903,177,9.0,28.8,115.8,88.5,91.4,87.5,458,146,404.0,71,40.1,8,4.5,3.0,663903,2020,263,177,0.22,0.232,-0.012,0.356,0.369,-0.013,0.285,0.302,-0.017,4.06,3.84,0.217,663903.0,2196.0,2241.0,,2387.0,2164.0,,,,663903.0,92.9,93.3,,83.1,87.8,,,,Brady Singer
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,Cole, Gerrit,543037,175,16.4,32.0,114.0,90.4,95.2,85.1,473,189,404.0,78,44.6,16,9.1,5.6,543037,2020,288,175,0.197,0.198,-0.001,0.405,0.381,0.024,0.279,0.274,0.005,2.84,3.13,-0.294,543037.0,2505.0,2505.0,,2582.0,1750.0,2803.0,,,543037.0,96.7,96.0,,88.7,88.3,83.4,,,Gerrit Cole
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,Berríos, José,621244,174,14.0,33.3,115.8,88.7,92.8,86.4,435,167,392.0,69,39.7,11,6.3,4.1,621244,2020,271,174,0.237,0.248,-0.011,0.383,0.4,-0.017,0.307,0.323,-0.016,4.0,4.45,-0.45,621244.0,2192.0,2128.0,,,1531.0,2352.0,,,621244.0,94.5,94.0,,,84.7,83.4,,,Jose Berrios
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,Paddack, Chris,663978,173,9.3,34.1,111.9,90.9,95.1,88.7,428,162,400.0,82,47.4,19,11.0,7.8,663978,2020,245,173,0.262,0.276,-0.014,0.515,0.488,0.027,0.342,0.345,-0.0029999999999999,4.73,5.16,-0.431,663978.0,2172.0,,2156.0,,1786.0,2096.0,,,663978.0,94.1,,87.9,,83.9,76.9,,,Chris Paddack
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,Bundy, Dylan,605164,173,14.5,30.6,106.9,87.0,92.0,83.0,412,161,388.0,57,32.9,8,4.6,3.0,605164,2020,267,173,0.208,0.215,-0.007,0.343,0.333,0.01,0.268,0.271,-0.003,3.29,3.06,0.229,605164.0,2424.0,2348.0,,2538.0,1620.0,2349.0,,,605164.0,90.0,90.7,,79.9,82.2,73.5,,,Dylan Bundy
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Yarbrough, Ryan,642232,171,10.9,41.5,115.9,82.6,90.9,73.4,427,165,403.0,43,25.1,10,5.8,4.3,642232,2020,234,171,0.256,0.253,0.003,0.374,0.39,-0.016,0.301,0.307,-0.006,3.56,3.98,-0.423,642232.0,,1942.0,2151.0,,1979.0,2309.0,,,642232.0,,87.3,82.9,,78.6,70.9,,,Ryan Yarbrough
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,Cease, Dylan,656302,171,15.2,36.8,110.6,89.8,92.9,87.8,440,178,409.0,70,40.9,15,8.8,5.9,656302,2020,255,171,0.234,0.279,-0.045,0.477,0.513,-0.036,0.354,0.389,-0.035,4.01,6.86,-2.849,656302.0,2516.0,,,2801.0,1724.0,2680.0,,,656302.0,97.5,,,85.0,82.9,79.0,,,Dylan Cease
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,Luzardo, Jesús,666200,169,10.5,34.3,113.3,88.9,93.5,85.6,412,153,393.0,62,36.7,12,7.1,4.8,666200,2020,248,169,0.257,0.256,0.001,0.429,0.413,0.016,0.32,0.318,0.002,4.12,4.3,-0.181,666200.0,2435.0,2365.0,,,1910.0,2533.0,,,666200.0,95.5,95.4,,,87.4,84.0,,,Jesus Luzardo
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,Fedde, Erick,607200,169,2.5,29.0,121.3,89.6,95.6,85.4,483,139,399.0,67,39.6,14,8.3,6.3,607200,2020,222,169,0.241,0.278,-0.037,0.441,0.467,-0.026,0.328,0.358,-0.0299999999999999,4.29,5.63,-1.339,607200.0,1792.0,1836.0,2035.0,,1576.0,2273.0,,,607200.0,93.3,93.4,88.7,,86.7,79.5,,,Erick Fedde
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,Carrasco, Carlos,471911,169,10.3,35.5,113.0,88.0,92.3,84.6,450,160,392.0,59,34.9,14,8.3,5.0,471911,2020,280,169,0.221,0.222,-0.001,0.361,0.368,-0.007,0.292,0.3,-0.008,2.91,3.79,-0.878,471911.0,2472.0,2357.0,,2780.0,1317.0,2930.0,,,471911.0,93.7,92.3,,86.0,87.7,83.4,,,Carlos Carrasco
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,Cobb, Alex,502171,168,3.8,33.9,115.8,91.3,97.5,86.9,447,140,394.0,81,48.2,16,9.5,7.1,502171,2020,226,168,0.252,0.307,-0.0549999999999999,0.417,0.502,-0.085,0.32,0.377,-0.0569999999999999,4.3,6.36,-2.061,502171.0,2098.0,2090.0,,,,2579.0,1616.0,,502171.0,92.9,92.5,,,,81.7,86.9,,Alex Cobb
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,Manaea, Sean,640455,168,9.4,28.6,110.9,90.6,94.5,89.4,401,149,388.0,75,44.6,12,7.1,5.4,640455,2020,222,168,0.27,0.266,0.004,0.427,0.415,0.012,0.309,0.306,0.003,4.5,3.96,0.54,640455.0,,1879.0,2053.0,1988.0,1102.0,,,,640455.0,,90.4,84.4,77.4,82.5,,,,Sean Manaea
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,Nola, Aaron,605400,168,8.6,34.5,114.4,88.3,95.2,84.4,431,148,413.0,64,38.1,9,5.4,3.1,605400,2020,289,168,0.205,0.223,-0.018,0.354,0.355,-0.001,0.272,0.284,-0.0119999999999999,3.28,3.37,-0.09,605400.0,2180.0,2101.0,,,1518.0,2499.0,,,605400.0,92.8,91.8,,,84.9,78.6,,,Aaron Nola
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,Webb, Logan,657277,167,6.0,34.7,110.6,88.4,91.9,86.5,407,143,400.0,67,40.1,9,5.4,3.7,657277,2020,246,167,0.288,0.28,0.0079999999999999,0.429,0.413,0.016,0.353,0.347,0.006,5.47,5.23,0.236,657277.0,2113.0,1988.0,2364.0,2712.0,1610.0,,,,657277.0,93.0,91.8,90.5,81.5,84.6,,,,Logan Webb
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,May, Dustin,669160,163,6.3,30.1,114.0,87.9,91.0,86.7,431,140,404.0,55,33.7,11,6.7,4.9,669160,2020,224,163,0.22,0.255,-0.035,0.371,0.411,-0.0399999999999999,0.282,0.315,-0.033,2.57,4.21,-1.639,669160.0,2341.0,2408.0,2646.0,,1937.0,3090.0,,,669160.0,99.1,97.9,93.6,,90.7,86.8,,,Dustin May
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Weaver, Luke,596133,162,19.3,36.4,112.8,89.8,92.8,85.5,434,209,404.0,68,42.0,15,9.3,6.4,596133,2020,236,162,0.292,0.252,0.0399999999999999,0.523,0.464,0.059,0.368,0.333,0.0349999999999999,6.58,4.77,1.807,596133.0,2467.0,,2360.0,,1666.0,2273.0,,,596133.0,94.0,,88.3,,84.7,79.0,,,Luke Weaver
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Keller, Brad,641745,161,7.5,32.9,113.9,89.2,92.0,88.2,429,138,418.0,63,39.1,6,3.7,2.8,641745,2020,215,161,0.202,0.27,-0.068,0.244,0.397,-0.153,0.236,0.323,-0.087,2.47,4.45,-1.98,641745.0,2343.0,2205.0,,2590.0,1965.0,,,,641745.0,92.8,92.3,,84.6,88.7,,,,Brad Keller
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,Stripling, Ross,548389,161,12.3,37.3,112.1,91.2,95.4,87.3,431,181,397.0,63,39.1,17,10.6,7.7,548389,2020,220,161,0.281,0.296,-0.0149999999999999,0.538,0.546,-0.008,0.373,0.384,-0.011,5.84,6.65,-0.812,548389.0,2275.0,2334.0,,2493.0,1699.0,2652.0,,,548389.0,91.7,91.6,,85.8,84.6,78.7,,,Ross Stripling
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,Sheffield, Justus,656954,161,9.6,29.8,111.8,90.7,93.1,91.2,437,140,414.0,75,46.6,6,3.7,2.6,656954,2020,232,161,0.251,0.256,-0.005,0.304,0.367,-0.063,0.285,0.312,-0.027,3.58,4.13,-0.552,656954.0,1917.0,1941.0,,2500.0,1725.0,,,,656954.0,92.5,91.9,,81.8,86.3,,,,Justus Sheffield
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,Duffy, Danny,518633,161,19.6,32.9,112.9,88.7,92.9,87.2,452,184,411.0,58,36.0,12,7.5,5.0,518633,2020,242,161,0.249,0.248,0.001,0.437,0.442,-0.005,0.324,0.331,-0.007,4.95,4.7,0.253,518633.0,2174.0,2120.0,,2391.0,2158.0,2294.0,,,518633.0,92.2,92.1,,82.6,83.9,75.5,,,Danny Duffy
